facebook.com 173.252.110.27
live.com 65.55.206.154
yahoo.com 206.190.36.45
wikipedia.org 208.80.154.224
msn.com 65.55.206.228
baidu.com 220.181.111.85
blogspot.com 74.125.25.191
hotmail.com 65.55.85.12
microsoft.com 64.4.11.37
youtube.com 74.125.239.97
paipai.com 112.90.77.176
craigslist.org 208.82.238.129
360.cn 220.181.24.100
alibaba.com 205.204.96.36
weather.com 96.8.82.132
renren.com 220.181.181.222
livedoor.jp 125.6.149.67
blogger.com 74.125.28.191
soku.com 220.181.185.143
vkontakte.ru 87.240.156.165
taobao.com 42.120.194.11
bing.com 204.79.197.200
qq.com 125.39.240.113
answers.com 67.196.156.65
soso.com 123.125.125.116
163.com 123.58.180.8
ifeng.com 210.51.19.61
ask.com 66.235.120.127
amazon.com 205.251.242.54
wordpress.com 76.74.254.126
yahoo.co.jp 203.216.243.240
tudou.com 123.126.98.151
softonic.com 46.28.209.20
imageshack.us 208.94.2.7
cnn.com 157.166.226.25
tianya.cn 124.225.135.222
zynga.com 74.114.13.1
nifty.com 210.131.4.217
mywebsearch.com 74.113.237.48
sina.com.cn 202.108.33.60
alipay.com 110.75.143.33
hp.com 15.201.225.10
partypoker.com 194.150.36.34
daum.net 61.111.62.173
rapidshare.com 154.46.193.6
photobucket.com 209.17.80.100
mediafire.com 205.196.120.12
7k7k.com 115.182.59.33
adobe.com 192.150.16.117
ehow.com 98.124.247.46
2345.com 42.62.30.180
seesaa.net 59.106.98.139
twitter.com 199.59.150.7
sohu.com 123.125.116.19
apple.com 17.149.160.49
hao123.com 180.149.131.31
walmart.com 161.170.248.20
bbc.co.uk 212.58.246.103
yandex.ru 213.180.193.11
goo.ne.jp 218.213.142.230
myspace.com 216.178.46.224
mail.ru 94.100.180.201
4399.com 115.182.52.231
kugou.com 183.61.119.254
go.com 68.71.220.3
cnet.com 64.30.224.118
orkut.com 74.125.129.86
skype.com 91.190.216.21
mozilla.com 63.245.217.194
youku.com 211.151.146.209
andysayler.com 198.199.109.206
windows.com 134.170.188.221
sdjjdsaf.com 
wmfo.org 23.92.21.128
ebay.com 66.211.160.87
fc2.com 54.241.184.224
ebay.de 66.135.211.132
pps.tv 58.83.190.154
xunlei.com 163.177.79.253
youdao.com 61.135.218.29
naver.com 202.131.30.11
56.com 59.32.213.232
flickr.com 69.147.76.173
4shared.com 74.117.178.54
amazon.co.jp 54.240.252.0
qiyi.com 220.181.73.5
paypal.com 66.211.169.66
sogou.com 106.120.151.162
tmall.com 42.120.194.11
rakuten.co.jp 202.72.51.22
ku6.com 122.11.45.242
about.com 207.241.148.80
odnoklassniki.ru 217.20.147.94
orkut.com.br 74.125.20.86
jp.msn.com 65.55.2.4
pconline.com.cn 219.136.245.40
linkedin.com 216.52.242.86
dailymotion.com 195.8.215.137
imdb.com 72.21.210.29
aol.com 205.188.101.58
ameblo.jp 180.233.142.129
hotfile.com 
